mean_red,std_red,skewness_red,kurtosis_red,entropy_red,range_red,mean_green,std_green,skewness_green,kurtosis_green,entropy_green,range_green,mean_blue,std_blue,skewness_blue,kurtosis_blue,entropy_blue,range_blue,contrast_0_deg,correlation_0_deg,asm_0_deg,entropy_0_deg,contrast_45_deg,correlation_45_deg,asm_45_deg,entropy_45_deg,contrast_90_deg,correlation_90_deg,asm_90_deg,entropy_90_deg,contrast_135_deg,correlation_135_deg,asm_135_deg,entropy_135_deg,class
110.8648,25.98400895,-0.734204985,0.210539004,6.619491188,147,111.0889,25.20456302,-0.793317274,0.277673029,6.55903031,139,112.3064,23.46036912,-0.900585919,0.477779622,6.427479483,134,90.82949495,0.928363399,0.000499092,11.46075025,151.8267524,0.880405175,0.000394745,11.74802387,121.7475758,0.904436157,0.000446505,11.61565692,233.4783185,0.815992547,0.000345411,11.94602692,ravelling
163.0355,28.90094531,0.659840559,0.822330053,6.757996302,183,163.6967,27.27849169,0.568880015,0.865757403,6.705220446,178,170.2701,25.7091024,0.517383496,0.976645195,6.630430205,170,86.38949495,0.943004936,0.00066735,11.37052002,143.9609224,0.903972451,0.000535444,11.63938729,126.2729293,0.915609425,0.000596827,11.54753869,247.1985512,0.835119772,0.000458226,11.88859107,ravelling
133.1504,34.22926788,0.127233288,-0.76904685,7.076234308,194,130.6249,33.56315539,0.160267527,-0.748797898,7.047299316,192,126.2484,31.71931742,0.190188483,-0.633411974,6.975851233,194,137.7189899,0.938518014,0.000281257,12.14965802,386.8535864,0.827591513,0.000188045,12.68540745,244.7243434,0.89103923,0.000218473,12.46937994,289.6518723,0.870901543,0.000208605,12.53505041,ravelling
99.3304,39.39072525,0.365961759,-0.107122665,7.298712873,244,96.2544,39.23617821,0.332372254,-0.0880584,7.298795993,245,95.5026,38.0721367,0.343627065,-0.016330973,7.257155383,243,304.4141414,0.900705952,0.000199985,12.64817916,857.0862157,0.721159076,0.000136629,13.11918637,602.2580808,0.803478703,0.000153867,12.97309237,740.4053668,0.759102765,0.000145503,13.04108233,ravelling
97.7239,40.00008336,0.54411934,-0.260582851,7.265690114,209,102.5591,36.04475423,0.497610632,-0.26788877,7.136032706,192,102.7201,32.62331001,0.470583568,-0.24343335,7.004815192,180,154.9243434,0.942412541,0.000269376,12.23569268,303.5130089,0.886640363,0.000202218,12.60330195,210.5369697,0.921395552,0.000230818,12.42917548,365.4748495,0.863524894,0.000190528,12.6734132,ravelling
129.3651,38.79800255,0.228678059,-0.988733186,7.183591301,203,134.2992,36.23100991,0.134982863,-0.804059538,7.155420407,208,136.3898,34.19058432,-0.023286822,-0.611131491,7.101003449,202,131.8968687,0.950757276,0.000292123,12.149382,350.9376594,0.86928293,0.000205909,12.61148416,219.969697,0.918011164,0.000241128,12.39893564,278.6692174,0.896187576,0.000214237,12.55094144,ravelling
121.1758,35.40762198,0.697448986,-0.051126776,7.054243229,197,121.3155,32.72337635,0.692089288,0.062295072,6.962007458,194,120.3233,30.91613134,0.56706159,0.089955045,6.919118999,189,92.45424242,0.958138117,0.000425232,11.72267397,249.6952352,0.886966736,0.000295483,12.21971078,185.3984848,0.915919166,0.000330747,12.08448524,259.0282624,0.882741476,0.000274194,12.29661137,ravelling
93.5098,38.54512296,0.567766008,-0.197361002,7.211138869,209,99.1158,34.70544036,0.508382993,-0.205721926,7.08376235,196,100.0571,31.31463619,0.476149909,-0.18437571,6.947466101,181,138.1607071,0.944495412,0.000284206,12.15866523,279.7068666,0.886957102,0.000216314,12.51658005,199.3679798,0.91950547,0.000245761,12.35741673,337.3975105,0.863673322,0.000200573,12.62098299,ravelling
142.5561,27.41892873,-0.283754918,-0.466249585,6.770711457,162,137.8811,25.15512597,-0.317672382,-0.397198546,6.641545672,153,133.945,24.1747425,-0.448654271,-0.066242917,6.579483121,154,41.74292929,0.967799601,0.000640088,11.07052699,73.69197021,0.943193827,0.000464961,11.46803181,41.04373737,0.968762763,0.000617095,11.1019033,78.7838996,0.939266524,0.000480545,11.46731774,ravelling
121.1937,35.13536367,0.303432969,-0.449301306,7.13095173,193,120.2067,33.40528663,0.313292324,-0.415137611,7.059479241,190,117.1761,30.77942964,0.280955742,-0.360921522,6.9516674,185,195.8591919,0.913190113,0.000240328,12.37065132,434.103969,0.806525347,0.000178478,12.7585433,315.7954545,0.859169063,0.000198944,12.61437009,496.7599225,0.778610626,0.000174251,12.79317975,ravelling
